rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
3.34,0.4141160000000005,1166,30836,26,50.26,610,7458,0.11582600325345993,0.0001,,
3.37,0.404597,1185,31337,26,50.81,620,7584,0.1232805997133255,0.0001,,
3.5,0.392494,1209,31974,26,54.27,630,7743,0.09174207597970963,0.0001,,
3.77,0.3808659999999999,1235,32586,26,55.46,640,7896,0.1315077692270279,0.0001,,
3.7,0.3723730000000004,1255,33033,26,55.49,650,8008,0.1496262550354004,0.0001,,
3.6,0.3644500000000005,1271,33450,26,52.22,660,8112,0.0930168479681015,0.0001,,
3.67,0.35542500000000044,1290,33925,26,50.77,670,8231,0.06386248767375946,0.0001,,
3.61,0.34478500000000034,1311,34485,26,51.36,680,8371,0.13591501116752625,0.0001,,
3.77,0.33302399999999965,1335,35104,26,53.33,690,8525,0.11109095811843872,0.0001,,
3.7,0.3243409999999999,1353,35561,26,51.7,700,8640,0.04751322418451309,0.0001,,
3.78,0.3148220000000004,1372,36062,26,52.26,710,8765,0.1517697125673294,0.0001,,
3.84,0.3053980000000005,1391,36558,26,52.21,720,8889,0.09999243915081024,0.0001,,
3.91,0.29369400000000034,1415,37174,26,52.0,730,9043,0.08179660141468048,0.0001,,
3.79,0.2822560000000006,1438,37776,26,51.9,740,9193,0.12223736941814423,0.0001,,
3.92,0.2668850000000005,1469,38585,26,55.52,750,9396,0.14471378922462463,0.0001,,
3.97,0.25753699999999946,1488,39077,26,56.27,760,9519,0.1783338338136673,0.0001,,
3.92,0.24615600000000026,1511,39676,26,57.51,770,9668,0.11311367154121399,0.0001,,
4.0,0.23410999999999982,1535,40310,26,58.25,780,9827,0.09096712619066238,0.0001,,
3.9,0.22248199999999985,1560,40922,26,58.18,790,9980,0.2256104201078415,0.0001,,
3.98,0.210569,1586,41549,26,59.88,800,10137,0.08063838630914688,0.0001,,
4.33,0.18767399999999979,1634,42754,26,66.92,810,10438,0.06557577848434448,0.0001,,
4.35,0.17272100000000012,1664,43541,26,69.83,820,10635,0.08344333618879318,0.0001,,
4.42,0.16001000000000054,1691,44210,26,70.36,830,10802,0.047276102006435394,0.0001,,
4.67,0.1408200000000004,1729,45220,26,74.44,840,11054,0.12785877287387848,0.0001,,
4.85,0.12314999999999965,1766,46150,26,75.65,850,11287,0.11437876522541046,0.0001,,
5.01,0.10644900000000035,1800,47029,26,79.52,860,11507,0.06901514530181885,0.0001,,
5.36,0.08526399999999978,1844,48144,26,84.68,870,11785,0.10887574404478073,0.0001,,
5.46,0.06841100000000033,1878,49031,26,87.21,880,12007,0.055519524961709976,0.0001,,
5.7,0.05020899999999995,1916,49989,26,90.67,890,12247,0.12526088953018188,0.0001,,
,0.0500189999999997,,50000,,,,12249,0.10277415812015533,0.0001,113.2,6.0
5.92,0.05,1947,50695,26,91.46,900,12423,0.054491981863975525,0.0001,,
5.99,0.05,1980,51571,26,88.17,910,12642,0.15811464190483093,0.0001,,
6.08,0.05,2006,52225,26,86.84,920,12806,0.04681810736656189,0.0001,,
6.06,0.05,2029,52846,26,86.36,930,12961,0.14033864438533783,0.0001,,
5.92,0.05,2062,53680,26,84.6,940,13169,0.2307545393705368,0.0001,,
6.18,0.05,2111,54960,26,88.1,950,13489,0.16805735230445862,0.0001,,
6.26,0.05,2144,55788,26,87.59,960,13696,0.03949453681707382,0.0001,,
6.47,0.05,2201,57267,26,91.23,970,14066,0.13544245064258575,0.0001,,
6.64,0.05,2231,58033,26,90.02,980,14258,0.1790347546339035,0.0001,,
6.69,0.05,2262,58854,26,88.65,990,14463,0.17069223523139954,0.0001,,
6.87,0.05,2308,60031,26,93.36,1000,14757,0.22955290973186493,0.0001,,
6.77,0.05,2341,60888,26,93.17,1010,14971,0.042468760162591934,0.0001,,
6.77,0.05,2372,61680,26,94.55,1020,15169,0.04473061114549637,0.0001,,
6.97,0.05,2406,62582,26,97.36,1030,15395,0.10534806549549103,0.0001,,
7.11,0.05,2442,63474,25,97.94,1040,15618,0.1438097059726715,0.0001,,
7.0,0.05,2481,64478,25,95.18,1050,15869,0.04550540819764137,0.0001,,
7.18,0.05,2526,65636,25,98.48,1060,16158,0.06398259848356247,0.0001,,
6.98,0.05,2565,66629,25,93.62,1070,16407,0.04711905121803284,0.0001,,
6.95,0.05,2612,67772,25,97.39,1080,16692,0.23132602870464325,0.0001,,
7.04,0.05,2650,68645,25,97.91,1090,16911,0.10629724711179733,0.0001,,
6.95,0.05,2687,69552,25,95.21,1100,17137,0.043830182403326035,0.0001,,
7.1,0.05,2736,70797,25,99.09,1110,17449,0.11235842108726501,0.0001,,
7.19,0.05,2766,71555,25,98.75,1120,17638,0.07881537824869156,0.0001,,
7.34,0.05,2811,72724,25,101.42,1130,17930,0.07145529985427856,0.0001,,
