rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
2.8,751,10,269,75.1,2,0.985731,,,,,
2.65,1230,20,170,61.5,7,0.9766299999999999,0.0001,0.01739276945590973,57,,
2.566666666666667,1726,30,116,57.53333333333333,14,0.9672059999999999,0.0001,0.0015580685576424003,181,,
2.45,2279,40,98,56.975,23,0.9566990000000005,0.0001,0.00034333550138399005,319,,
2.64,2934,50,88,58.68,33,0.9442540000000001,0.0001,0.0017960367258638144,483,,
2.566666666666667,3443,60,84,57.38333333333333,40,0.9345830000000005,0.0001,0.013575399294495583,610,,
2.557142857142857,4055,70,79,57.92857142857143,50,0.9229550000000005,0.0001,0.03753555193543434,763,,
2.6625,4620,80,77,57.75,59,0.9122199999999998,0.0001,0.03759157285094261,904,,
2.6333333333333333,5046,90,76,56.06666666666667,66,0.9041260000000001,0.0001,0.019337879493832588,1011,,
2.62,5524,100,74,55.24,73,0.8950440000000005,0.0001,0.012964624911546707,1130,,
2.64,6005,110,73,52.54,81,0.8859050000000004,0.0001,0.03434037044644356,1251,,
2.76,6559,120,72,53.29,90,0.8753790000000004,0.0001,0.018448268994688988,1389,,
2.94,7190,130,71,54.64,100,0.8633900000000005,0.0001,0.01624591276049614,1547,,
3.01,7642,140,70,53.63,108,0.8548020000000004,0.0001,0.02235596440732479,1660,,
3.07,8354,150,69,54.2,119,0.8412740000000005,0.0001,0.016659656539559364,1838,,
3.06,8873,160,69,54.3,128,0.8314129999999996,0.0001,0.028002504259347916,1968,,
3.09,9445,170,68,53.9,137,0.8205450000000003,0.0001,0.030950549989938736,2111,,
2.99,9788,180,68,51.68,143,0.8140279999999996,0.0001,0.0337614044547081,2196,,
2.99,10131,190,67,50.85,149,0.807511,0.0001,0.02398008666932583,2282,,
2.99,10516,200,67,49.92,155,0.8001959999999996,0.0001,0.0188080333173275,2378,,
2.91,10906,210,67,49.01,162,0.7927859999999995,0.0001,0.03639917075634003,2476,,
2.99,11468,220,66,49.09,171,0.7821080000000005,0.0001,0.0631210133433342,2616,,
3.02,11969,230,66,47.79,179,0.7725889999999999,0.0001,0.02465405873954296,2742,,
3.07,12434,240,66,47.92,187,0.763754,0.0001,0.0408141165971756,2858,,
3.03,12875,250,66,45.21,194,0.7553749999999996,0.0001,0.029929878190159798,2968,,
3.15,13369,260,65,44.96,203,0.7459889999999996,0.0001,0.041728004813194275,3092,,
