rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
51.94,0.8670944800000001,2.7,563,59,620,33562,0.0001,0.06922875344753265,8140,,
51.57,0.8650907200000001,2.61,572,59,630,34068,0.0001,0.19780495762825012,8266,,
52.1,0.8631899199999999,2.77,580,59,640,34548,0.0001,0.04437387362122536,8386,,
53.0,0.8609881599999999,2.74,589,59,650,35104,0.0001,0.03424261510372162,8525,,
52.65,0.8591467599999999,2.72,597,59,660,35569,0.0001,0.3115222156047821,8642,,
54.57,0.8565133600000001,2.73,608,59,670,36234,0.0001,0.24920623004436493,8808,,
54.17,0.85456108,2.66,616,59,680,36727,0.0001,0.07964380085468292,8931,,
52.79,0.8526959199999999,2.66,624,59,690,37198,0.0001,0.027644749730825424,9049,,
54.01,0.8498764,2.75,636,59,700,37910,0.0001,0.02547047846019268,9227,,
54.55,0.847936,2.89,645,59,710,38400,0.0001,0.03691434860229492,9349,,
55.48,0.8451244000000001,2.93,657,59,720,39110,0.0001,0.048600368201732635,9527,,
55.7,0.84303352,2.86,666,59,730,39638,0.0001,0.033969368785619736,9659,,
56.49,0.8408198800000001,2.81,675,59,740,40197,0.0001,0.12974360585212708,9799,,
57.04,0.83840032,2.82,686,59,750,40808,0.0001,0.03528764843940735,9951,,
58.55,0.83596096,2.87,696,59,760,41424,0.0001,0.08678384125232697,10105,,
59.2,0.8330701599999999,2.96,708,59,770,42154,0.0001,0.23929376900196075,10288,,
63.34,0.8294784399999999,3.2,723,59,780,43061,0.0001,0.24852705001831055,10515,,
65.0,0.82695592,3.36,733,59,790,43698,0.0001,0.03857503458857536,10674,,
64.82,0.82420768,3.21,745,59,800,44392,0.0001,0.07389377057552338,10847,,
66.42,0.8216336799999999,3.18,755,59,810,45042,0.0001,0.03250741586089134,11010,,
64.26,0.81967744,3.07,764,59,820,45536,0.0001,0.18470165133476257,11133,,
64.13,0.81763804,3.11,774,59,830,46051,0.0001,0.039664238691329956,11262,,
64.46,0.81529372,3.18,784,59,840,46643,0.0001,0.1510254442691803,11410,,
64.95,0.81268012,3.19,795,59,850,47303,0.0001,0.1439305692911148,11575,,
64.89,0.81026452,3.23,805,59,860,47913,0.0001,0.05434664338827133,11728,,
