rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
2.8,751,10,285,75.1,2,0.985731,,,,,
2.65,1230,20,175,61.5,6,0.9766299999999999,0.0005,0.01782790943980217,57,,
2.6666666666666665,1736,30,119,57.86666666666667,14,0.9670159999999997,0.0005,0.0019062908831983805,183,,
2.65,2199,40,101,54.975,21,0.9582189999999999,0.0005,0.04519566148519516,299,,
2.5,2737,50,92,54.74,29,0.9479970000000002,0.0005,0.022265968844294548,434,,
2.5833333333333335,3382,60,85,56.36666666666667,39,0.9357420000000001,0.0005,0.006024687550961971,595,,
2.6285714285714286,3877,70,81,55.385714285714286,47,0.9263369999999996,0.0005,0.013702868483960629,719,,
2.5,4264,80,79,53.3,53,0.9189840000000002,0.0005,0.027418389916419983,815,,
2.6333333333333333,4952,90,76,55.022222222222226,64,0.9059119999999998,0.0005,0.02757427841424942,987,,
2.64,5506,100,74,55.06,73,0.8953859999999998,0.0005,0.019745519384741783,1126,,
2.68,6042,110,72,52.91,82,0.8852020000000002,0.0005,0.0506318099796772,1260,,
2.66,6512,120,71,52.82,90,0.8762719999999997,0.0005,0.03130887448787689,1377,,
2.7,7170,130,70,54.34,101,0.8637699999999998,0.0005,0.03425789996981621,1542,,
2.67,7592,140,70,53.93,108,0.8557520000000003,0.0005,0.030044449493288994,1647,,
2.89,8304,150,69,55.67,120,0.8422240000000004,0.0005,0.021621551364660263,1825,,
2.85,8876,160,68,54.94,129,0.8313560000000001,0.0005,0.02458355762064457,1968,,
2.91,9347,170,67,54.7,137,0.8224070000000001,0.0005,0.027375061064958572,2086,,
3.06,9932,180,67,56.68,147,0.8112920000000001,0.0005,0.02648552693426609,2232,,
3.04,10430,190,66,54.78,155,0.80183,0.0005,0.04587569460272789,2357,,
3.12,10930,200,66,54.24,163,0.7923300000000001,0.0005,0.03895655646920204,2482,,
3.01,11278,210,66,52.36,169,0.7857179999999998,0.0005,0.03616160526871681,2569,,
3.14,11748,220,66,52.36,177,0.7767880000000004,0.0005,0.029400277882814407,2686,,
3.25,12294,230,65,51.24,186,0.7664139999999995,0.0005,0.043388690799474716,2823,,
3.34,12853,240,65,52.61,196,0.7557929999999999,0.0005,0.052556656301021576,2963,,
3.16,13217,250,65,49.13,202,0.7488770000000005,0.0005,0.05539095029234886,3054,,
3.16,13643,260,65,47.67,209,0.7407829999999997,0.0005,0.037466779351234436,3160,,
3.06,14074,270,64,47.27,216,0.7325940000000005,0.0005,0.042729176580905914,3268,,
2.96,14445,280,64,45.13,223,0.7255450000000003,0.0005,0.054982300847768784,3361,,
3.07,15114,290,64,46.84,234,0.7128339999999997,0.0005,0.054338887333869934,3528,,
3.09,15674,300,64,47.44,243,0.7021939999999997,0.0005,0.0356253981590271,3668,,
3.23,16063,310,64,47.85,249,0.6948030000000002,0.0005,0.09353518486022949,3765,,
3.19,16519,320,64,47.71,257,0.6861389999999999,0.0005,0.034378185868263245,3879,,
3.07,16948,330,63,46.54,264,0.6779879999999997,0.0005,0.0705140084028244,3986,,
2.98,17272,340,63,44.19,270,0.6718319999999999,0.0005,0.03439147770404816,4067,,
3.05,17747,350,63,45.3,278,0.6628069999999998,0.0005,0.03725811094045639,4186,,
3.2,18352,360,63,47.09,288,0.6513120000000004,0.0005,0.07617610692977905,4337,,
3.5,19066,370,63,49.92,301,0.6377459999999995,0.0005,0.14963601529598236,4516,,
3.42,19338,380,63,48.93,305,0.6325779999999996,0.0005,0.06853735446929932,4584,,
3.45,19909,390,63,47.95,315,0.6217289999999999,0.0005,0.13073964416980743,4727,,
3.44,20430,400,62,47.56,324,0.61183,0.0005,0.06403757631778717,4857,,
3.47,21058,410,62,49.95,334,0.5998979999999996,0.0005,0.044392991811037064,5014,,
3.46,21491,420,62,49.72,342,0.5916710000000004,0.0005,0.0774746760725975,5122,,
3.55,22211,430,62,52.63,354,0.5779910000000004,0.0005,0.2255331575870514,5302,,
3.77,22986,440,62,57.14,368,0.5632659999999999,0.0005,0.10705704987049103,5496,,
4.01,23807,450,62,60.6,382,0.5476669999999997,0.0005,0.06697018444538116,5701,,
3.95,24411,460,62,60.59,392,0.5361909999999996,0.0005,0.06496914476156235,5852,,
3.88,25056,470,62,59.9,403,0.5239359999999996,0.0005,0.05963444709777832,6013,,
4.2,25722,480,62,63.84,414,0.5112819999999996,0.0005,0.041191767901182175,6180,,
4.19,26508,490,61,65.99,428,0.49634800000000057,0.0005,0.1336240917444229,6376,,
4.19,27163,500,61,67.33,439,0.4839030000000002,0.0005,0.11059794574975967,6540,,
4.41,28271,510,61,72.13,458,0.46285100000000023,0.0005,0.11764749884605408,6817,,
4.57,28947,520,61,74.56,469,0.45000700000000005,0.0005,0.058681920170784,6986,,
4.69,29531,530,61,73.2,479,0.4389110000000006,0.0005,0.11182481050491333,7132,,
4.6,30222,540,61,72.36,491,0.42578200000000066,0.0005,0.08607209473848343,7305,,
4.59,31069,550,61,72.62,506,0.40968899999999975,0.0005,0.06728440523147583,7517,,
4.62,31610,560,61,71.99,515,0.3994099999999995,0.0005,0.20947004854679108,7652,,
4.79,32690,570,61,76.34,534,0.37889000000000006,0.0005,0.03975149616599083,7922,,
4.57,33071,580,61,73.49,541,0.37165099999999973,0.0005,0.1633506566286087,8017,,
4.5,33921,590,60,74.13,556,0.3555010000000004,0.0005,0.17280885577201843,8230,,
4.57,34774,600,60,76.11,571,0.33929400000000065,0.0005,0.05796441063284874,8443,,
4.43,35589,610,60,73.18,585,0.32380900000000046,0.0005,0.05342884361743927,8647,,
4.5,36713,620,60,77.66,604,0.3024530000000002,0.0005,0.03312622383236885,8928,,
4.38,37223,630,60,76.92,613,0.2927629999999999,0.0005,0.06440051645040512,9055,,
4.46,37837,640,60,76.15,623,0.2810969999999998,0.0005,0.04289904236793518,9209,,
4.43,38640,650,60,75.71,637,0.26583999999999997,0.0005,0.062162622809410095,9409,,
4.7,39617,660,60,80.07,654,0.24727699999999975,0.0005,0.1860036998987198,9654,,
4.73,40632,670,60,79.42,672,0.22799200000000008,0.0005,0.04595600441098213,9907,,
5.04,41522,680,60,84.51,688,0.2110820000000001,0.0005,0.06148964911699295,10130,,
5.26,42373,690,60,84.52,703,0.19491300000000011,0.0005,0.11554618179798126,10343,,
5.44,43507,700,60,87.33,723,0.17336699999999972,0.0005,0.07105860859155655,10626,,
5.72,44691,710,60,91.02,743,0.15087100000000042,0.0005,0.29365578293800354,10922,,
5.92,45781,720,60,90.68,762,0.13016099999999975,0.0005,0.2005627602338791,11195,,
5.87,46228,730,59,90.05,770,0.12166800000000022,0.0005,0.044156625866889954,11306,,
6.19,47279,740,59,94.42,789,0.10169899999999976,0.0005,0.13443998992443085,11569,,
6.49,48274,750,59,96.34,806,0.08279400000000048,0.0005,0.07029734551906586,11818,,
6.38,49002,760,59,93.85,819,0.0689620000000003,0.0005,0.07701176404953003,12000,,
,50000,,,,,0.0500189999999997,0.0005,0.09412962943315506,12249,6.0,75.8
6.58,50052,770,59,94.2,840,0.05,0.0005,0.21090927720069885,12262,,
6.69,50998,780,59,94.76,856,0.05,0.0005,0.24981416761875153,12499,,
6.81,52064,790,59,96.91,875,0.05,0.0005,0.03881025314331055,12765,,
6.9,53154,800,59,96.47,895,0.05,0.0005,0.0747145265340805,13038,,
7.08,54364,810,59,96.73,916,0.05,0.0005,0.06664245575666428,13340,,
6.82,55182,820,59,94.01,931,0.05,0.0005,0.11556429415941238,13545,,
7.36,56336,830,59,101.08,951,0.05,0.0005,0.09174805134534836,13833,,
7.17,56955,840,58,96.76,967,0.05,0.0005,0.22729738056659698,13988,,
7.29,58252,850,58,99.78,990,0.05,0.0005,0.0609128475189209,14312,,
7.37,59125,860,58,101.23,1006,0.05,0.0005,0.09920663386583328,14531,,
6.94,59864,870,58,98.12,1019,0.05,0.0005,0.09924913197755814,14715,,
6.89,60806,880,58,98.08,1035,0.05,0.0005,0.08611321449279785,14951,,
6.95,62101,890,58,100.37,1058,0.05,0.0005,0.06143440306186676,15275,,
7.05,63378,900,58,102.24,1081,0.05,0.0005,0.15886931121349335,15594,,
6.82,64225,910,58,98.61,1096,0.05,0.0005,0.04057189077138901,15806,,
7.1,65443,920,58,102.61,1118,0.05,0.0005,0.23007266223430634,16110,,
7.05,66596,930,58,102.6,1138,0.05,0.0005,0.08535841107368469,16398,,
7.51,67957,940,58,110.02,1162,0.05,0.0005,0.06154037266969681,16739,,
7.34,68831,950,58,105.79,1178,0.05,0.0005,0.06175808608531952,16957,,
7.59,70059,960,58,109.34,1200,0.05,0.0005,0.06243685260415077,17264,,
