rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
2.8,751,10,269,75.1,2,0.985731,,,,,
2.65,1230,20,174,61.5,7,0.9766299999999999,0.0001,0.017312226817011833,57,,
2.6,1705,30,118,56.833333333333336,14,0.9676049999999998,0.0001,0.05659791827201843,176,,
2.5,2264,40,99,56.6,22,0.9569840000000003,0.0001,0.0009040343575179577,315,,
2.58,2831,50,89,56.62,31,0.9462109999999995,0.0001,0.0016725454479455948,457,,
2.566666666666667,3397,60,84,56.61666666666667,40,0.9354570000000003,0.0001,0.013500664383172989,599,,
2.4857142857142858,3869,70,81,55.27142857142857,47,0.9264889999999998,0.0001,0.0074377828277647495,717,,
2.625,4624,80,78,57.8,59,0.9121439999999996,0.0001,0.02130240388214588,905,,
2.7,5290,90,75,58.77777777777778,69,0.8994899999999997,0.0001,0.010878863744437695,1072,,
2.8,5866,100,74,58.66,78,0.8885460000000004,0.0001,0.034625664353370667,1216,,
3.06,6730,110,72,59.79,92,0.8721299999999997,0.0001,0.008073322474956512,1432,,
3.04,7179,120,71,59.49,100,0.8635990000000002,0.0001,0.037504881620407104,1544,,
3.1,7649,130,70,59.44,107,0.8546689999999997,0.0001,0.03354376181960106,1662,,
3.08,8099,140,70,58.35,114,0.8461189999999996,0.0001,0.027509059756994247,1774,,
3.08,8551,150,69,57.2,122,0.8375310000000005,0.0001,0.014424762688577175,1887,,
3.17,9068,160,69,56.71,131,0.8277079999999997,0.0001,0.03245989978313446,2016,,
3.19,9392,170,68,55.23,136,0.8215519999999998,0.0001,0.015032542869448662,2097,,
3.1,9719,180,68,50.95,141,0.8153390000000005,0.0001,0.00964590534567833,2179,,
3.12,10193,190,68,49.03,149,0.8063329999999999,0.0001,0.008933903649449348,2298,,
3.14,10751,200,67,48.85,158,0.7957309999999999,0.0001,0.03592732548713684,2437,,
2.88,11259,210,67,45.29,167,0.7860789999999996,0.0001,0.018840642645955086,2564,,
3.02,11742,220,67,45.63,174,0.7769020000000005,0.0001,0.03442163020372391,2685,,
3.01,12178,230,66,45.29,181,0.7686179999999996,0.0001,0.035094961524009705,2794,,
3.08,12581,240,66,44.82,189,0.7609609999999999,0.0001,0.030767889693379402,2895,,
3.09,13021,250,66,44.7,197,0.7526009999999999,0.0001,0.019138609990477562,3005,,
2.99,13334,260,65,42.66,204,0.7466539999999997,0.0001,0.025297801941633224,3083,,
3.19,13929,270,64,45.37,214,0.7353489999999996,0.0001,0.027209576219320297,3232,,
3.15,14320,280,64,46.01,221,0.7279200000000001,0.0001,0.023865018039941788,3329,,
3.17,14855,290,64,46.62,229,0.7177549999999999,0.0001,0.05785542353987694,3463,,
3.19,15394,300,64,46.43,238,0.7075139999999998,0.0001,0.051610615104436874,3598,,
3.33,15874,310,64,46.15,246,0.6983940000000001,0.0001,0.030365345999598503,3718,,
3.21,16173,320,64,44.31,252,0.6927130000000001,0.0001,0.04873543605208397,3793,,
3.29,16621,330,64,44.43,259,0.6842010000000001,0.0001,0.0423254668712616,3905,,
3.43,17071,340,63,44.9,266,0.675651,0.0001,0.028833691030740738,4017,,
3.46,17488,350,63,44.67,273,0.667728,0.0001,0.035794369876384735,4121,,
3.46,17845,360,63,45.11,279,0.6609450000000001,0.0001,0.01956275850534439,4211,,
3.42,18305,370,63,43.76,287,0.6522049999999997,0.0001,0.04623962938785553,4326,,
3.55,18828,380,63,45.08,296,0.6422679999999998,0.0001,0.020321186631917953,4456,,
3.56,19342,390,63,44.87,304,0.6325019999999996,0.0001,0.059197794646024704,4585,,
